Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
ZFP36L1,Invasive,Normal,62,10,-2.70001559833831,-8.77395644655981,56.0928715151114,4.1341514252443e-12,-1.76012624446717,-1.1058092394038,11.8690322580645,13.302,0,two.sided,Welch Two Sample t-test,1.12898965630659e-09
CSNK1A1,Invasive,Normal,62,10,-1.56394908771282,-8.67661604843512,57.3303829792863,4.99331826633148e-12,-0.794078372582885,-0.496308724191308,9.0058064516129,9.651,0,two.sided,Welch Two Sample t-test,1.35504211670233e-09
LITAF,Invasive,Normal,62,10,-2.29529155262961,-8.36646616003909,63.6854669079207,7.55719212580433e-12,-1.48492267207991,-0.912432166629771,11.9753225806452,13.174,0,two.sided,Welch Two Sample t-test,1.96432364966389e-09
LOC643007,Invasive,Normal,62,10,-2.85141379911058,-8.69000079906358,52.8724328667901,9.16937119130597e-12,-1.86060853931606,-1.16274629939362,11.3953225806452,12.907,0,two.sided,Welch Two Sample t-test,2.36910196504473e-09
LCMT1,Invasive,Normal,62,10,1.40162146495651,8.30330884209105,63.2638817234708,1.02231338353368e-11,0.369877747597459,0.60431580078964,10.4720967741935,9.985,0,two.sided,Welch Two Sample t-test,2.61010519956871e-09
ESD,Invasive,Normal,62,10,-2.22953359019144,-8.87178424664016,48.3128160784987,1.03568564263257e-11,-1.41885342324061,-0.894630447727128,11.2572580645161,12.414,0,two.sided,Welch Two Sample t-test,2.62869200637118e-09
LOC649555,Invasive,Normal,62,10,-2.02683100921568,-8.83329010333992,48.3446331683375,1.17458792218805e-11,-1.25117941287484,-0.787272200028388,8.39177419354839,9.411,0,two.sided,Welch Two Sample t-test,2.94657672480058e-09
A2M,Invasive,Normal,62,10,-3.73254923410871,-8.9939490334019,43.9396392667144,1.60216192467752e-11,-2.32596668759173,-1.47435589305343,12.3648387096774,14.265,0,two.sided,Welch Two Sample t-test,3.90565439129862e-09
KIAA0495,Invasive,Normal,62,10,-2.46091281731483,-8.39704225605459,55.9084238782273,1.74639584297247e-11,-1.60914691225363,-0.989240184520564,8.9558064516129,10.255,0,two.sided,Welch Two Sample t-test,4.16317612334675e-09
PCYT1A,Invasive,Normal,62,10,1.23453500289279,8.42333868553585,54.0724352405243,2.03695531268081e-11,0.231621139649181,0.376314344221786,7.90596774193548,7.602,0,two.sided,Welch Two Sample t-test,4.80276217658752e-09
NEIL3,Invasive,Normal,62,10,1.42052020771554,7.97428307064597,69.8608991475451,2.06258477653653e-11,0.379755063608759,0.63308364606866,7.52741935483871,7.021,0,two.sided,Welch Two Sample t-test,4.83676130097816e-09
C6orf203,Invasive,Normal,62,10,-1.86352252573677,-10.8516509610684,27.1940865548967,2.1917392141111e-11,-1.06777553973257,-0.728288976396462,8.83096774193548,9.729,0,two.sided,Welch Two Sample t-test,5.08436363497128e-09
NR2F1,Invasive,Normal,62,10,-4.72397064571812,-10.1360244461737,30.9477791628803,2.36256328910286e-11,-2.69075094391804,-1.78924905608196,9.515,11.755,0,two.sided,Welch Two Sample t-test,5.45133052396846e-09
LOC402251,Invasive,Normal,62,10,-2.47443093356481,-8.40716918401225,53.2914703058986,2.41416428426134e-11,-1.61889844919789,-0.995295099189208,13.9079032258065,15.215,0,two.sided,Welch Two Sample t-test,5.52373145428e-09
FLJ40722,Invasive,Normal,62,10,-1.73849474919675,-7.95521338208338,66.6605314974245,2.99179191318109e-11,-0.998039727467229,-0.597637691887611,11.5451612903226,12.343,0,two.sided,Welch Two Sample t-test,6.65397906173355e-09
LOC654096,Invasive,Normal,62,10,-2.07762529483301,-9.56256566160628,34.2122404140642,3.39927312710622e-11,-1.27908004282496,-0.83079092491698,8.18806451612903,9.243,0,two.sided,Welch Two Sample t-test,7.40766852971612e-09
PECI,Invasive,Normal,62,10,-2.12602902107989,-8.44124355973932,49.7383750605316,3.62654504824514e-11,-1.34711853312651,-0.829204047518645,9.36483870967742,10.453,0,two.sided,Welch Two Sample t-test,7.75323429406458e-09
KIAA1737,Invasive,Normal,62,10,-1.88388340397732,-8.19369906525992,55.3768333271483,4.02134098507247e-11,-1.13715394387623,-0.690265410962479,9.86629032258065,10.78,0,two.sided,Welch Two Sample t-test,8.54742959723679e-09
RPL15,Invasive,Normal,62,10,-1.95822750701829,-8.32255041426047,51.6380084727428,4.16098023095487e-11,-1.20335482434886,-0.735741949844692,12.7664516129032,13.736,0,two.sided,Welch Two Sample t-test,8.77339911715678e-09
RPL27A,Invasive,Normal,62,10,-2.77313169110434,-7.81834041206193,69.1223329705995,4.25096720734107e-11,-1.84697965658874,-1.09605260147578,11.9704838709677,13.442,0,two.sided,Welch Two Sample t-test,8.90391908069672e-09
RAD51,Invasive,Normal,62,10,1.34248244770279,7.78572871593054,69.6396535022502,4.66934856801296e-11,0.316047665358725,0.533758786254178,7.34790322580645,6.923,0,two.sided,Welch Two Sample t-test,9.73299768176924e-09
ZNF324B,Invasive,Normal,62,10,1.36876138786273,7.77598199598596,69.1106556789637,5.08645360997589e-11,0.336689235934594,0.569052699549276,8.38887096774194,7.936,0,two.sided,Welch Two Sample t-test,1.04014360361725e-08
ALOX5AP,Invasive,Normal,62,10,-3.14325227095379,-7.93376427190203,60.9585177935939,5.74358778062645e-11,-2.06869842648282,-1.23581770254944,10.0427419354839,11.695,0,two.sided,Welch Two Sample t-test,1.14204758321876e-08
CBX8,Invasive,Normal,62,10,1.48485554107271,8.13712748579779,53.0178339725913,6.74609021176883e-11,0.429743088460633,0.710902072829689,8.17032258064516,7.6,0,two.sided,Welch Two Sample t-test,1.32309227480637e-08
POLR3GL,Invasive,Normal,62,10,-1.63061857536648,-8.22310710039853,49.7060535883746,7.86087390534766e-11,-0.877748875762905,-0.533089833914515,10.8875806451613,11.593,0,two.sided,Welch Two Sample t-test,1.53475559849747e-08
GPR177,Invasive,Normal,62,10,-2.3968859945986,-8.69959339690565,40.5138634765148,8.20094379843423e-11,-1.55403651358279,-0.968286067062372,8.76983870967742,10.031,0,two.sided,Welch Two Sample t-test,1.5867906861652e-08
HMGN3,Invasive,Normal,62,10,-1.94661522231848,-8.76112777597811,39.0368056060453,9.34631521367379e-11,-1.18282070229561,-0.739114781575359,7.87903225806452,8.84,0,two.sided,Welch Two Sample t-test,1.77654100810395e-08
MRPL55,Invasive,Normal,62,10,1.46755986458698,8.53589496467983,42.3895145681515,9.3990852710833e-11,0.422613913270589,0.684224796406829,9.52741935483871,8.974,0,two.sided,Welch Two Sample t-test,1.77873566349431e-08
LOC442517,Invasive,Normal,62,10,-1.24314966890394,-9.61248043386429,30.5371077745105,9.51513358375909e-11,-0.380663429129798,-0.247336570870202,7.065,7.379,0,two.sided,Welch Two Sample t-test,1.79283399070759e-08
FAM107A,Invasive,Normal,62,10,-7.84903955013529,-10.7786902836026,24.195278856402,1.01390335561489e-10,-3.5414491237658,-2.40358313429871,8.28048387096774,11.253,0,two.sided,Welch Two Sample t-test,1.90208269513353e-08
C21orf58,Invasive,Normal,62,10,1.21048117664676,7.69285058718707,64.7918925734591,1.04463987874856e-10,0.20403290593881,0.347128384383773,7.29258064516129,7.017,0,two.sided,Welch Two Sample t-test,1.9512606704867e-08
TCEAL2,Invasive,Normal,62,10,-5.53932304752187,-8.97774444688837,35.2556508235499,1.23306193960397e-10,-3.02803230573327,-1.91138704910543,8.24629032258064,10.716,0,two.sided,Welch Two Sample t-test,2.23801838561399e-08
RPL23,Invasive,Normal,62,10,-1.87220957026057,-7.61583816124419,65.986360391212,1.29106017543246e-10,-1.14192955525974,-0.667554315707999,13.7972580645161,14.702,0,two.sided,Welch Two Sample t-test,2.33082278031631e-08
BIRC5,Invasive,Normal,62,10,1.45455781913243,7.68187182997824,62.453519938736,1.35244058925426e-10,0.399931430433091,0.681229859889489,7.82258064516129,7.282,0,two.sided,Welch Two Sample t-test,2.4059894767865e-08
OTX1,Invasive,Normal,62,10,1.48881169193154,7.84527097974787,55.7124757849355,1.43637980198789e-10,0.427536108842069,0.720786471803092,7.59516129032258,7.021,0,two.sided,Welch Two Sample t-test,2.5400375285317e-08
LOC644037,Invasive,Normal,62,10,-2.42237018711948,-8.16783912860015,45.8050446531234,1.72771106532114e-10,-1.59101835623806,-0.961820353439357,12.1725806451613,13.449,0,two.sided,Welch Two Sample t-test,3.03037711571043e-08
MGC70924,Invasive,Normal,62,10,1.32468116442079,8.26239931601843,43.683840573447,1.79412818511471e-10,0.306679809655628,0.504610512925017,7.76064516129032,7.355,0,two.sided,Welch Two Sample t-test,3.10895754744295e-08
LOC641765,Invasive,Normal,62,10,1.49913367579599,7.98163762518908,49.6255079325259,1.86901898846951e-10,0.437106935388162,0.731151129127967,8.47612903225806,7.892,0,two.sided,Welch Two Sample t-test,3.20017584581279e-08
SPARCL1,Invasive,Normal,62,10,-5.77171474744651,-8.5443093887565,38.3575166159722,2.06891880981595e-10,-3.12800993770117,-1.92999006229883,10.355,12.884,0,two.sided,Welch Two Sample t-test,3.50077289435053e-08
CASC5,Invasive,Normal,62,10,1.3886446058584,7.720251943708,55.5141934722927,2.35689110391416e-10,0.350744492037814,0.596610346671862,7.55467741935484,7.081,0,two.sided,Welch Two Sample t-test,3.96141597155473e-08
ATP6V0E1,Invasive,Normal,62,10,-1.98427626677709,-8.03980153785119,46.5985259972722,2.3595158632835e-10,-1.23604252404024,-0.741183282411371,10.7733870967742,11.762,0,two.sided,Welch Two Sample t-test,3.96141597155473e-08
APLN,Invasive,Normal,62,10,1.27427567269221,7.73980257930874,54.8026276738119,2.37047843099247e-10,0.259129122586438,0.440225716123239,7.62967741935484,7.28,0,two.sided,Welch Two Sample t-test,3.96439547831252e-08
LOC649150,Invasive,Normal,62,10,-2.1988389424133,-7.46505718392247,64.4230634413792,2.73015645710134e-10,-1.44090784381813,-0.832576027149611,13.2272580645161,14.364,0,two.sided,Welch Two Sample t-test,4.46215116708366e-08
APIP,Invasive,Normal,62,10,-1.70321205318822,-7.43310313617697,65.826856397193,2.77459238920601e-10,-0.97462571439685,-0.561890414635408,8.97774193548387,9.746,0,two.sided,Welch Two Sample t-test,4.51766461922494e-08
FBXL10,Invasive,Normal,62,10,1.43632984782242,8.15817210637911,43.0273928900965,2.82002360215301e-10,0.39325589263578,0.651518300912605,10.6783870967742,10.156,0,two.sided,Welch Two Sample t-test,4.55724263616847e-08
CLUAP1,Invasive,Normal,62,10,-1.45020621776981,-7.92556649566866,47.5824943490616,3.02708839880383e-10,-0.672332068283026,-0.400184060749233,8.27774193548387,8.814,0,two.sided,Welch Two Sample t-test,4.81966089415453e-08
LOC647100,Invasive,Normal,62,10,-2.35318199560797,-7.34285372064022,67.9900409154029,3.41291143937915e-10,-1.57012799295971,-0.899097813491897,12.2533870967742,13.488,0,two.sided,Welch Two Sample t-test,5.37446360534057e-08
LOC402057,Invasive,Normal,62,10,-1.49893256923195,-7.72509852706085,51.7960931164501,3.55505053032122e-10,-0.735630905962157,-0.43224006177978,14.448064516129,15.032,0,two.sided,Welch Two Sample t-test,5.55772899573551e-08
LOC644131,Invasive,Normal,62,10,-2.11134346591578,-8.18957519117345,41.0242494525159,3.62895948159003e-10,-1.34403000285804,-0.812292577787121,8.25983870967742,9.338,0,two.sided,Welch Two Sample t-test,5.6527921917562e-08
NDUFB3,Invasive,Normal,62,10,-1.88531612553594,-7.97025476631558,45.240273903087,3.67067427387037e-10,-1.14594645590189,-0.683666447323912,10.5891935483871,11.504,0,two.sided,Welch Two Sample t-test,5.69720336578988e-08
IGFBP5,Invasive,Normal,62,10,-4.41788185716085,-7.46411065890469,60.9023725092352,3.71581769582151e-10,-2.71757486775758,-1.56913480966177,11.6306451612903,13.774,0,two.sided,Welch Two Sample t-test,5.74659863581744e-08
EEF1A1,Invasive,Normal,62,10,-1.39986754138659,-7.64723149260057,53.2316180489257,3.999992227284e-10,-0.612561252532926,-0.358019392628362,15.2337096774194,15.719,0,two.sided,Welch Two Sample t-test,6.15663561434404e-08
HTR2C,Invasive,Normal,62,10,1.49628718085738,7.26485645975985,69.9945513161833,4.10072549723711e-10,0.421777392788361,0.740996800760026,7.30838709677419,6.727,0,two.sided,Welch Two Sample t-test,6.27440084236833e-08
SLC9A9,Invasive,Normal,62,10,-2.67783026163393,-8.78427689997833,32.4075921502679,4.38171762905923e-10,-1.75042419020536,-1.0917048420527,8.24693548387097,9.668,0,two.sided,Welch Two Sample t-test,6.58753840622466e-08
JAK1,Invasive,Normal,62,10,-2.10818284658147,-9.16916830450283,28.8752312334619,4.73262540969976e-10,-1.31605232933363,-0.835947670666363,8.79,9.866,0,two.sided,Welch Two Sample t-test,7.09039309644879e-08
LOC389787,Invasive,Normal,62,10,-1.98028719814089,-7.35673015404548,61.1856175854693,5.54981028854905e-10,-1.25361774975602,-0.717801605082692,13.5612903225806,14.547,0,two.sided,Welch Two Sample t-test,8.25437790836394e-08
CRADD,Invasive,Normal,62,10,-1.84041645174049,-7.81382559750281,44.651245389217,6.78241299336249e-10,-1.1069196025781,-0.653144913550927,8.78096774193548,9.661,0,two.sided,Welch Two Sample t-test,9.9202561300883e-08
KIAA1524,Invasive,Normal,62,10,1.41108652284285,7.15428052388394,69.3290807643036,6.82962019957619e-10,0.358285487942549,0.635327415283259,7.6558064516129,7.159,0,two.sided,Welch Two Sample t-test,9.92203543337756e-08
CYB5R3,Invasive,Normal,62,10,-1.89592674957748,-8.76697394137483,30.5093362989652,7.72202093514135e-10,-1.13774374528975,-0.708062706323155,9.89209677419355,10.815,0,two.sided,Welch Two Sample t-test,1.1106325310316e-07
LOC647908,Invasive,Normal,62,10,-2.1801378430818,-7.63482129281191,48.0401360187303,7.83958311291861e-10,-1.42052947388587,-0.82830923579155,9.43758064516129,10.562,0,two.sided,Welch Two Sample t-test,1.12379512344257e-07
FLJ41481,Invasive,Normal,62,10,1.26055976151254,7.20394254126864,64.2625260597206,7.99140420129984e-10,0.241432171636905,0.42669686062116,7.82806451612903,7.494,0,two.sided,Welch Two Sample t-test,1.13799705768213e-07
GABARAPL1,Invasive,Normal,62,10,-2.10408581840645,-7.80951177918502,43.3864049169236,8.32718205477376e-10,-1.35025872611355,-0.796128370660642,11.9858064516129,13.059,0,two.sided,Welch Two Sample t-test,1.18191201085322e-07
ETS1,Invasive,Normal,62,10,-2.0074820623883,-7.32168862408799,57.8423090332104,8.56394803893019e-10,-1.28027146499075,-0.730502728557637,11.2616129032258,12.267,0,two.sided,Welch Two Sample t-test,1.2115319015861e-07
LOC729416,Invasive,Normal,62,10,-2.25404470488677,-7.2001055194133,63.2984406474714,8.73988501160798e-10,-1.49791001820848,-0.847122239856041,13.1504838709677,14.323,0,two.sided,Welch Two Sample t-test,1.22166553576921e-07
Septin 10,Invasive,Normal,62,10,-2.25929235273281,-9.6923595858841,23.6944140364717,1.02398004922219e-09,-1.42643284370687,-0.925309091776998,8.71612903225807,9.892,0,two.sided,Welch Two Sample t-test,1.41158757711946e-07
HERPUD1,Invasive,Normal,62,10,-2.19535098757136,-8.9556916623402,27.8363518739399,1.09155170380918e-09,-1.39399989856584,-0.87490332724061,10.5885483870968,11.723,0,two.sided,Welch Two Sample t-test,1.48555957997127e-07
LOC642645,Invasive,Normal,62,10,1.20551128915161,8.51977735058002,31.5639603214936,1.09485479380473e-09,0.205142659762641,0.334147662818003,7.22064516129032,6.951,0,two.sided,Welch Two Sample t-test,1.48555957997127e-07
IFI16,Invasive,Normal,62,10,-2.57230999586475,-7.55573358691376,47.5613954632209,1.0990627525611e-09,-1.72587216863608,-1.00025686362199,10.116935483871,11.48,0,two.sided,Welch Two Sample t-test,1.48659434631681e-07
LOC644063,Invasive,Normal,62,10,-1.37609554739474,-12.5827532896441,15.8830371948008,1.12909980544262e-09,-0.538224386141011,-0.382936904181571,6.91241935483871,7.373,0,two.sided,Welch Two Sample t-test,1.52041951694581e-07
KLF3,Invasive,Normal,62,10,1.13984583316251,7.31231859310242,55.267987050997,1.13111769940578e-09,0.137090418785382,0.240587000569457,7.61983870967742,7.431,0,two.sided,Welch Two Sample t-test,1.52041951694581e-07
H2BFWT,Invasive,Normal,62,10,1.27684255951781,7.04300368181122,67.8619619865252,1.19767112003987e-09,0.252681558189713,0.452479732132867,7.22258064516129,6.87,0,two.sided,Welch Two Sample t-test,1.59497263850248e-07
LOC654074,Invasive,Normal,62,10,-1.90119066867083,-7.28438456995314,54.7773819902192,1.31810108539299e-09,-1.18193167131429,-0.67187478029861,8.68209677419355,9.609,0,two.sided,Welch Two Sample t-test,1.74458360836002e-07
ATOH8,Invasive,Normal,62,10,-2.82482460066634,-7.8229693166397,39.7732411287638,1.42983949516005e-09,-1.88528216863696,-1.1110404120082,8.54983870967742,10.048,0,two.sided,Welch Two Sample t-test,1.86953680415654e-07
CALML6,Invasive,Normal,62,10,1.19619418787775,6.97624786557904,68.6132582439349,1.50510211859575e-09,0.184536705944142,0.33236651986231,7.68645161290323,7.428,0,two.sided,Welch Two Sample t-test,1.96199837502022e-07
GPS1,Invasive,Normal,62,10,1.47730503128368,7.43918448495412,48.0662892110767,1.55288701987299e-09,0.410816362371307,0.715119121499661,11.6259677419355,11.063,0,two.sided,Welch Two Sample t-test,2.0121312052096e-07
ARHGAP11A,Invasive,Normal,62,10,1.22521272684832,7.16686771323547,57.662445426351,1.58264101100213e-09,0.211177682851237,0.374886833277796,7.27903225806452,6.986,0,two.sided,Welch Two Sample t-test,2.0445447408e-07
LAPTM4A,Invasive,Normal,62,10,-1.76327569652962,-8.06895223109865,35.0851821642197,1.65716824621123e-09,-1.02410982549445,-0.612406303537805,10.6777419354839,11.496,0,two.sided,Welch Two Sample t-test,2.12431409415991e-07
LOC646100,Invasive,Normal,62,10,-1.67931278421385,-7.04897632768774,61.6218686560163,1.82025587564801e-09,-0.959980527619156,-0.535761407864714,8.69112903225806,9.439,0,two.sided,Welch Two Sample t-test,2.30568874749321e-07
HIST1H3F,Invasive,Normal,62,10,1.39281148066904,7.03266719704356,62.4740772895776,1.82219306316674e-09,0.342153364977629,0.613846635022373,8.06,7.582,0,two.sided,Welch Two Sample t-test,2.30568874749321e-07
LRRC46,Invasive,Normal,62,10,1.28523507447288,7.79374972272921,38.5917654637623,1.91929783063493e-09,0.26804321087246,0.456021305256573,7.65903225806452,7.297,0,two.sided,Welch Two Sample t-test,2.41439833225178e-07
NDN,Invasive,Normal,62,10,-3.46015990199263,-7.86109492912074,37.3164325510975,1.96704800592724e-09,-2.25229421958076,-1.32938319977408,9.42016129032258,11.211,0,two.sided,Welch Two Sample t-test,2.46727288836478e-07
CEP72,Invasive,Normal,62,10,1.30244802901172,6.96736963811015,64.8683120913192,1.99878330194081e-09,0.271946429641813,0.490505183261412,7.89822580645161,7.517,0,two.sided,Welch Two Sample t-test,2.49981164962731e-07
KLHL18,Invasive,Normal,62,10,1.40482175997728,7.37213160657078,47.6274880120845,2.07135023744399e-09,0.356614578866685,0.624159614681703,8.83838709677419,8.348,0,two.sided,Welch Two Sample t-test,2.5756374652805e-07
FTHL8,Invasive,Normal,62,10,-2.81071170490014,-7.11452326458745,56.6222332186031,2.11896913341916e-09,-1.91063733090932,-1.07123363683262,12.843064516129,14.334,0,two.sided,Welch Two Sample t-test,2.61975014810229e-07
EEF1B2,Invasive,Normal,62,10,-2.59489726071064,-8.92211275360791,25.9138410906416,2.21915008382234e-09,-1.69266546509485,-1.05868937361482,7.99032258064516,9.366,0,two.sided,Welch Two Sample t-test,2.73576822333618e-07
NGRN,Invasive,Normal,62,10,-1.43886923352998,-7.25638677913839,50.2449999129615,2.32216324052306e-09,-0.670219440446839,-0.379651527295095,11.658064516129,12.183,0,two.sided,Welch Two Sample t-test,2.83041524017201e-07
DCN,Invasive,Normal,62,10,-4.72724618773746,-7.85578716548205,36.2505300907726,2.44102477043883e-09,-2.81941030590498,-1.66258969409502,10.66,12.901,0,two.sided,Welch Two Sample t-test,2.95857687626109e-07
LOC648852,Invasive,Normal,62,10,-1.73562059789964,-6.8465745548661,69.373456395027,2.46479345160327e-09,-1.02720694518617,-0.563696280620287,12.0885483870968,12.884,0,two.sided,Welch Two Sample t-test,2.97901702660442e-07
GNG10,Invasive,Normal,62,10,-2.64078663447276,-8.37457813146283,29.8618682860164,2.4856672021998e-09,-1.74268201982721,-1.05925346404375,8.42403225806452,9.825,0,two.sided,Welch Two Sample t-test,2.98840453098805e-07
LOC90835,Invasive,Normal,62,10,1.27698531585568,7.29039536822704,48.528789014021,2.48641240990245e-09,0.255485810727451,0.449998060240291,7.65274193548387,7.3,0,two.sided,Welch Two Sample t-test,2.98840453098805e-07
UQCRC2,Invasive,Normal,62,10,-2.70092131869992,-8.30812726142004,30.2270806303017,2.67618773457463e-09,-1.78570630203919,-1.08119692376726,10.3885483870968,11.822,0,two.sided,Welch Two Sample t-test,3.19343129659771e-07
VPS13C,Invasive,Normal,62,10,-1.20648205022464,-8.72246797668488,26.6403619020485,2.7407012120372e-09,-0.334549894292976,-0.20706300893283,7.3591935483871,7.63,0,two.sided,Welch Two Sample t-test,3.25773487319507e-07
LOC650346,Invasive,Normal,62,10,-1.74324361027667,-7.14596850911603,52.3768917788001,2.78982484582637e-09,-1.02688043363989,-0.576667953456879,8.34322580645161,9.145,0,two.sided,Welch Two Sample t-test,3.30701545186034e-07
COPS2,Invasive,Normal,62,10,-2.37426977714414,-9.07078006109148,23.9254739739096,3.2762590005012e-09,-1.53137396885589,-0.963593773079589,8.97451612903226,10.222,0,two.sided,Welch Two Sample t-test,3.80010815466736e-07
PRKAR1A,Invasive,Normal,62,10,-2.27632993189198,-8.34935789345348,28.9162364044906,3.41330734493616e-09,-1.47743852972462,-0.89598082511409,11.5812903225806,12.768,0,two.sided,Welch Two Sample t-test,3.93789800318998e-07
SGOL2,Invasive,Normal,62,10,1.46614953932011,6.77968417846254,67.8572224029975,3.5595210669221e-09,0.389546047691984,0.714518468437048,7.82903225806452,7.277,0,two.sided,Welch Two Sample t-test,4.09563239988146e-07
RHBDD1,Invasive,Normal,62,10,-1.41490940057382,-7.30972375123269,44.7082727620738,3.67987018086024e-09,-0.638698847606224,-0.362720507232486,8.90629032258065,9.407,0,two.sided,Welch Two Sample t-test,4.2228467703127e-07
CD48,Invasive,Normal,62,10,-2.46873878369827,-8.35309890694507,28.5209733285458,3.76871996335149e-09,-1.62323220103847,-0.984316186058302,7.98822580645161,9.292,0,two.sided,Welch Two Sample t-test,4.30192404705529e-07
LOC389599,Invasive,Normal,62,10,-1.69405870623612,-7.89223288929516,33.3755671846501,3.91032887456422e-09,-0.956442980841804,-0.564524761093678,8.31451612903226,9.075,0,two.sided,Welch Two Sample t-test,4.44007553367624e-07
